country,medical_doctors_per_10k,nursing_midwifery_per_10k,dentists_per_10k,pharmacists_per_10k,total_healthcare_workforce_per_10k,maternal_mortality_rate
Kiribati,1.94,36.22,0.68,0.25,39.09,197.30
Kuwait,22.93,45.87,6.62,4.82,80.24,13.04
Kyrgyzstan,21.45,44.23,1.81,0.32,67.81,83.03
Laos,3.27,11.83,0.76,2.27,18.13,756.59
Latvia,33.77,44.21,7.20,8.83,94.01,45.41
Lebanon,26.17,19.29,11.77,14.90,72.13,56.13
Lesotho,1.51,31.24,0.13,0.87,33.75,563.71
Liberia,1.80,7.94,0.01,0.32,10.07,1553.02
Libya,21.57,67.38,9.06,6.20,104.21,47.92
Lithuania,51.27,94.67,14.23,13.29,173.46,26.03
Luxembourg,29.85,120.85,9.74,6.98,167.42,10.93
Madagascar,1.77,2.92,0.08,0.01,4.78,733.59
Malawi,0.49,5.00,0.05,0.05,5.59,970.77
Malaysia,23.16,33.94,3.00,3.38,63.48,48.64
Maldives,21.61,48.97,0.99,6.84,78.41,236.36
Mali,1.95,3.52,0.02,0.76,6.25,1064.65
Malta,42.76,85.08,6.61,25.48,159.93,13.59
Mauritania,2.36,16.56,0.28,0.18,19.38,692.64
Mauritius,11.97,30.01,2.71,0.27,44.96,97.57
Mexico,25.59,29.91,1.19,0.50,57.19,81.17
Moldova,32.46,61.18,4.74,7.79,106.17,56.91
Mongolia,38.74,42.22,4.09,6.83,91.88,198.61
Montenegro,27.52,59.93,0.59,2.38,90.42,7.43
Morocco,7.32,13.91,1.37,2.60,25.20,460.81
Mozambique,0.82,5.12,0.11,0.15,6.20,927.48
Myanmar,7.51,11.03,0.72,0.79,20.05,544.09
Namibia,5.43,33.55,0.81,2.55,42.34,265.96
Nepal,8.67,34.89,1.36,1.71,46.63,961.23
"New Zealand",35.74,117.40,5.04,7.01,165.19,16.25
Nicaragua,6.64,15.30,0.39,1.84,24.17,215.65
Niger,0.23,2.02,0.01,0.02,2.28,965.11
Nigeria,3.94,16.82,0.23,0.84,21.83,1208.88
"North Korea",36.71,44.34,2.19,3.96,87.20,76.14
"North Macedonia",29.64,48.32,7.77,5.24,90.97,16.69
Norway,51.68,188.93,9.29,9.14,259.04,6.89
Oman,20.58,48.17,3.71,7.24,79.70,23.01
Pakistan,10.84,4.69,1.20,1.51,18.24,356.23
Panama,17.34,37.53,2.88,2.30,60.05,90.14
"Papua New Guinea",0.63,5.11,0.05,0.08,5.87,334.87
Paraguay,38.82,93.81,13.37,6.71,152.71,226.17
Peru,16.21,26.55,2.08,1.51,46.35,239.97
Philippines,7.86,47.55,2.49,4.70,62.60,193.60
Poland,33.91,63.41,9.10,7.42,113.84,17.21
Portugal,57.67,77.89,11.82,9.84,157.22,14.98
Qatar,24.99,72.36,6.20,8.94,112.49,22.10
Romania,34.71,80.73,10.24,11.06,136.74,126.95
Russia,38.27,62.42,2.80,0.40,103.89,78.10
Rwanda,1.16,9.33,0.18,0.71,11.38,1207.24
"Saint Lucia",6.55,32.22,1.75,4.46,44.98,55.27
"Saint Vincent and the Grenadines",9.44,73.41,1.67,3.20,87.72,60.12
Samoa,5.48,30.15,0.88,0.23,36.74,97.99
"Sao Tome and Principe",4.89,21.53,0.28,1.72,28.42,185.68
"Saudi Arabia",30.77,55.09,6.56,9.35,101.77,29.26
Senegal,1.26,4.35,0.13,0.20,5.94,553.45
Serbia,28.37,59.33,2.26,1.48,91.44,15.14
Seychelles,38.19,72.74,4.11,3.27,118.31,40.81
"Sierra Leone",0.43,11.19,0.01,0.10,11.73,1538.88
Singapore,25.96,61.82,4.06,5.03,96.87,13.78
Slovakia,36.80,60.43,5.28,8.48,110.99,10.56
Slovenia,33.26,105.92,7.44,7.37,153.99,12.66
"Solomon Islands",1.91,21.44,0.74,1.18,25.27,167.78
"South Africa",8.09,10.38,0.23,0.60,19.30,150.30
"South Korea",25.17,89.15,5.30,7.79,127.41,30.79
"South Sudan",0.43,7.12,0.23,0.13,7.91,4141.19
Spain,44.80,65.37,8.51,12.54,131.22,5.82
"Sri Lanka",11.92,24.39,1.05,1.06,38.42,59.34
Sudan,2.63,11.40,2.13,0.25,16.41,980.40
Suriname,14.78,29.54,0.70,0.82,45.84,372.75
Syria,11.86,14.19,6.61,9.82,42.48,43.16
Tajikistan,21.33,53.72,1.63,2.62,79.30,84.66
Tanzania,1.33,5.50,0.09,0.27,7.19,845.39
Thailand,9.28,30.78,2.55,6.16,48.77,59.96
Timor-Leste,7.67,17.73,0.02,2.12,27.54,1296.08
Togo,0.83,5.08,0.02,0.29,6.22,591.07
Tonga,10.09,41.79,1.43,0.76,54.07,116.63
